time,open,high,low,close,Plot,Plot,ROC Line
988840800,1695.75,1697.25,1668.5,1679.25,18.20833333332712,24.530729166660876,-18
988927200,1678.75,1699,1660,1697.75,16.24999999999386,24.58124999999417,1.75
989186400,1698.5,1699.75,1687.75,1688.5,9.999999999993861,23.558333333327468,9.25
989272800,1691.25,1702,1681,1688.5,8.383333333327073,22.27604166666076,-9.25
989359200,1690.5,1690.5,1675.75,1682.75,0.8083333333270275,20.34270833332738,-5.75
989445600,1682,1698.75,1681.25,1686.5,-1.9583333333393966,17.972395833327354,-2
989532000,1686.5,1690.25,1668.5,1676.75,-5.250000000006139,14.711458333327329,-6
989791200,1677,1679,1669,1677,-6.9416666666729725,10.78124999999396,-9.5
989877600,1677.25,1687,1670.75,1682.5,-6.800000000006094,7.816145833327269,5.75
989964000,1681.5,1716.25,1661,1713.5,3.6999999999939064,6.801562499993921,36.5
990050400,1714,1724.5,1709.75,1716.5,13.141666666660512,7.158333333327235,34
990136800,1716.5,1721,1708.5,1720.75,23.591666666660558,8.286458333327218,7.25
990396000,1720.5,1742,1715.25,1739.75,27.216666666660558,9.187499999993861,23.25
990482400,1739.75,1744.25,1734,1737.5,29.316666666660467,10.20781249999385,16.75
990568800,1737.5,1738.25,1715.25,1715.75,24.34999999999377,10.735937499993824,-24
990655200,1715.25,1722.5,1708,1719.5,14.299999999993815,10.519791666660495,-18
990741600,1720.25,1725,1700.75,1704.5,0.5249999999937245,9.414583333327158,-11.25
991087200,1705.25,1708.5,1691.5,1693.5,-8.541666666672882,7.865104166660487,-26
991173600,1692.25,1693.25,1671.75,1675.5,-22.50833333333935,5.833333333327161,-29
991260000,1676,1689.25,1674.25,1679.5,-27.441666666672972,3.5942708333271582,-14
991346400,1680.75,1692.25,1672.25,1690,-25.958333333339397,1.9213541666605067,14.5
991605600,1689.5,1695,1682,1694.25,-17.05833333333976,0.977604166660484,14.75
991692000,1694.25,1713.5,1692.25,1709.5,-4.033333333339442,1.0536458333271526,19.5
991778400,1709.75,1711.25,1694.5,1698.5,2.6999999999934516,1.656249999993804,4.25
991864800,1696.75,1704,1690.75,1702,6.658333333326709,2.4973958333271042,-7.5
991951200,1702.25,1710.25,1681.5,1693.75,3.9833333333267547,2.5151041666604073,-4.75
992210400,1689.25,1692,1674,1680.25,0.32499999999345164,1.714062499993716,-21.75
992296800,1681,1686.25,1659.5,1678.5,-6.008333333339806,-0.13593750000630678,-15.25
992383200,1679.25,1684.5,1665,1666.75,-14.133333333339806,-2.7203125000063295,-13.5
992469600,1667,1667.5,1635.75,1637.75,-24.125000000006594,-6.060416666673021,-40.75
992556000,1637.75,1645.25,1626,1640,-31.95833333333985,-9.579687500006372,-26.75
992815200,1640.25,1644.75,1630,1634.5,-36.733333333339715,-12.769270833339718,-3.25
992901600,1634.25,1649.75,1629.75,1638.75,-29.32500000000664,-14.63489583333974,-1.25
992988000,1637.75,1649,1630.75,1643.75,-22.600000000006503,-15.513541666673092,9.25
993074400,1643.25,1663.5,1640.5,1657.25,-10.541666666673336,-14.765625000006466,18.5
993160800,1656.75,1658.5,1642.25,1649.25,-2.591666666673291,-13.212500000006486,5.5
993420000,1648.25,1654.25,1635,1637.75,-0.3416666666732908,-11.611458333339854,-19.5
993506400,1638,1643.75,1620.25,1635,-3.408333333339897,-10.758333333339863,-14.25
993592800,1635,1641.75,1628,1633.25,-5.391666666673245,-10.843229166673225,-4.5
993679200,1634.25,1659,1627.5,1641.5,-4.516666666673245,-11.294270833339894,6.5
993765600,1642,1659.75,1642,1652,-0.05000000000700311,-11.713541666673251,18.75
994024800,1647.75,1662.5,1643.25,1660.25,6.374999999993179,-11.5640625000066,18.75
994111200,1660.25,1661.5,1650,1659.5,10.299999999993133,-10.94062500000662,7.5
994284000,1659.5,1659.5,1635.75,1636.5,5.8583333333263,-10.198958333339988,-23.75
994370400,1636.25,1637.75,1607.25,1607.75,-6.691666666673655,-9.733854166673353,-51.75
994629600,1608.75,1623.5,1603.25,1615,-18.100000000006958,-9.357291666673376,-21.5
994716000,1616.75,1625,1600.25,1600.75,-26.316666666673655,-9.004687500006739,-7
994802400,1599.5,1607.5,1588.25,1599.5,-25.516666666673473,-8.303645833340099,-15.5
994888800,1601.75,1631.75,1600.5,1628.5,-20.541666666673564,-7.754687500006781,27.75
994975200,1628.75,1640,1623.75,1639.25,-7.483333333339942,-6.809895833340121,39.75
995234400,1638.75,1639.75,1620,1624.75,3.658333333326482,-5.922395833340133,-3.75
995320800,1624.5,1636.75,1615.75,1634.75,8.291666666660149,-5.242187500006793,-4.5
995407200,1633.5,1635.25,1616.75,1626.25,7.283333333326482,-4.765625000006807,1.5
995493600,1624.25,1645.75,1622,1637.25,11.374999999993179,-3.8416666666734898,2.5
995580000,1632,1635.5,1625.5,1629,7.333333333326436,-3.0463541666735097,2.75
995839200,1629.25,1637.75,1605.75,1606.25,1.5416666666599212,-2.6677083333401868,-31
995925600,1608,1611,1582.75,1592.75,-12.491666666673382,-3.4453125000068354,-36.25
996012000,1593.25,1610,1590.25,1605.75,-20.86666666667338,-5.1479166666734955,-0.5
996098400,1606.75,1624,1600.25,1619.5,-15.550000000006776,-6.76354166667349,26.75
