price  , formation_time     , breakout_time      , retest_time        , type, status  , m5_retest_time     , m5_open, m5_high, m5_low , m5_close
6159.0 , 2024-12-26 17:00:00, 2025-01-22 08:00:00, 2025-01-23 08:00:00, LHPB, retested, 2025-01-23 08:00:00, 6161.25, 6162.5 , 6158.75,  6160.5
6170.5 , 2025-01-23 14:00:00, 2025-01-23 15:00:00, 2025-01-31 02:00:00, LHPB, retested, 2025-01-31 02:00:00, 6169.25, 6171.25, 6169.0 ,  6170.0
6196.0 , 2025-01-24 15:00:00, 2025-01-24 17:00:00, 2025-01-31 16:00:00, LLPB, retested, 2025-01-31 16:00:00, 6194.0 , 6197.75, 6194.0 ,  6196.0
6196.25, 2025-01-24 16:00:00, 2025-01-24 17:00:00, 2025-01-31 16:00:00, LLPB, retested, 2025-01-31 16:00:00, 6194.0 , 6197.75, 6194.0 ,  6196.0
6146.75, 2025-01-22 00:00:00, 2025-01-27 00:00:00, 2025-01-28 18:00:00, LLPB, retested, 2025-01-28 18:05:00, 6145.5 , 6148.5 , 6145.0 ,  6146.0
6147.25, 2025-01-22 01:00:00, 2025-01-27 00:00:00, 2025-01-28 18:00:00, LLPB, retested, 2025-01-28 18:05:00, 6145.5 , 6148.5 , 6145.0 ,  6146.0
6118.25, 2025-01-21 17:00:00, 2025-01-27 05:00:00, 2025-01-28 09:00:00, LLPB, retested, 2025-01-28 09:00:00, 6116.0 , 6120.75, 6113.0 ,  6118.0
6123.5 , 2025-01-27 01:00:00, 2025-01-27 05:00:00, 2025-01-28 10:00:00, LLPB, retested, 2025-01-28 10:05:00, 6120.75, 6123.5 , 6120.5 ,  6122.75
6107.0 , 2025-01-21 16:00:00, 2025-01-27 06:00:00, 2025-01-27 21:00:00, LLPB, retested, 2025-01-27 21:00:00, 6098.25, 6108.0 , 6095.75,  6106.0
6108.5 , 2025-01-27 05:00:00, 2025-01-27 06:00:00, 2025-01-27 23:00:00, LLPB, retested, 2025-01-27 23:00:00, 6111.0 , 6111.0 , 6103.25,  6104.5
