D1_Level,H1_Level,Distance_to_D1,H1_Is_Spike,H1_Is_Swing,Entry_Type,Type,Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Price,Target_Price,PnL,Outcome,MAE,MFE,Max_Drawdown,Formation_Time,Breakout_Time,Associated_D1_Levels
4450.0,4442.0,8.0,True,True,Spike,LLPB,SHORT,2023-03-21 00:10:00,2023-03-21 00:15:00,4442.0,4447.0,4447.0,4432.0,-5.0,STOP,5.0,0.0,3.5,2023-03-21 00:00:00,2023-03-22 19:00:00,22
4412.75,4406.5,6.25,True,False,Spike,LLPB,SHORT,2023-03-17 20:55:00,2023-03-19 22:00:00,4406.5,4411.5,4411.5,4396.5,-5.0,STOP,5.0,0.0,0.0,2023-03-17 20:00:00,2023-03-20 04:00:00,12
4424.75,4418.25,6.5,True,True,Spike,LHPB,LONG,2023-01-20 01:25:00,2023-01-20 02:55:00,4418.25,4413.25,4413.25,4428.25,-5.0,STOP,5.0,0.0,2.25,2023-01-20 01:00:00,2023-01-20 05:00:00,16
4490.25,4481.0,9.25,True,False,Spike,LHPB,LONG,2023-01-20 21:55:00,2023-01-22 23:00:00,4481.0,4476.0,4476.0,4491.0,-5.0,STOP,5.0,1.25,6.25,2023-01-20 21:00:00,2023-01-22 23:00:00,12
4435.25,4428.5,6.75,True,False,Spike,LLPB,SHORT,2022-05-19 14:50:00,2022-05-19 14:55:00,4428.5,4433.5,4433.5,4418.5,-5.0,STOP,5.0,0.0,0.0,2022-05-19 14:00:00,2022-05-20 14:00:00,18
4386.75,4382.75,4.0,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4396.75,4393.75,3.0,True,False,Spike,LHPB,LONG,2022-07-05 01:55:00,2022-07-05 02:25:00,4393.75,4388.75,4388.75,4403.75,-5.0,STOP,5.0,0.0,2.5,2022-07-05 01:00:00,2022-07-05 06:00:00,17
4456.25,4463.5,7.25,True,False,Spike,LHPB,LONG,2022-09-07 09:00:00,2022-09-07 09:05:00,4463.5,4458.5,4458.5,4473.5,-5.0,STOP,5.0,0.0,0.25,2022-09-07 09:00:00,2022-09-07 13:00:00,21
4450.5,4442.0,8.5,True,True,Spike,LLPB,SHORT,2023-03-21 00:10:00,2023-03-21 00:15:00,4442.0,4447.0,4447.0,4432.0,-5.0,STOP,5.0,0.0,3.5,2023-03-21 00:00:00,2023-03-22 19:00:00,22
4443.25,4437.5,5.75,True,False,Spike,LLPB,SHORT,2023-03-24 02:00:00,2023-03-24 02:05:00,4437.5,4442.5,4442.5,4427.5,-5.0,STOP,5.0,0.0,1.25,2023-03-24 02:00:00,2023-03-24 08:00:00,21
4355.0,4347.5,7.5,True,True,Spike,LLPB,SHORT,2022-12-16 17:55:00,2022-12-16 18:05:00,4347.5,4352.5,4352.5,4337.5,-5.0,STOP,5.0,0.0,4.25,2022-12-16 17:00:00,2022-12-19 16:00:00,10
4479.75,4469.75,10.0,True,False,Spike,LLPB,SHORT,2023-03-21 17:05:00,2023-03-21 17:10:00,4469.75,4474.75,4474.75,4459.75,-5.0,STOP,5.0,0.0,2.25,2023-03-21 17:00:00,2023-03-22 19:00:00,19
4412.5,4406.5,6.0,True,False,Spike,LLPB,SHORT,2023-03-17 20:55:00,2023-03-19 22:00:00,4406.5,4411.5,4411.5,4396.5,-5.0,STOP,5.0,0.0,0.0,2023-03-17 20:00:00,2023-03-20 04:00:00,12
4483.0,4474.0,9.0,True,False,Spike,LLPB,SHORT,2023-02-28 16:55:00,2023-02-28 17:00:00,4474.0,4479.0,4479.0,4464.0,-5.0,STOP,5.0,0.0,2.5,2023-02-28 16:00:00,2023-02-28 20:00:00,15
4440.5,4437.5,3.0,True,False,Spike,LLPB,SHORT,2023-03-24 02:00:00,2023-03-24 02:05:00,4437.5,4442.5,4442.5,4427.5,-5.0,STOP,5.0,0.0,1.25,2023-03-24 02:00:00,2023-03-24 08:00:00,21
