entry_price , target_price, stop_price, entry_time         , exit_time          , exit_price, pnl   , outcome, level_price, formation_time     , breakout_time      , retest_time        , fta    , risk , reward, rr_ratio          , R                 , validity
6192.75     , 6202.75     ,    6182.5 , 2025-02-19 10:30:00, 2025-02-19 14:20:00,    6182.5 , -10.25, LOSS   ,     6192.75, 2025-02-18 18:00:00, 2025-02-18 20:00:00, 2025-02-19 10:00:00, 6202.75, 10.25,  10.0 , 0.975609756097561 , 0.975609756097561 , valid
6171.75     , 6178.75     ,    6169.25, 2025-02-21 14:35:00, 2025-02-21 14:45:00,    6169.25, -2.5  , LOSS   ,     6171.75, 2025-02-20 18:00:00, 2025-02-20 19:00:00, 2025-02-21 14:00:00, 6178.75,  2.5 ,   7.0 , 2.8               , 2.8               , invalid
5965.75     , 5982.0      ,    5951.75, 2025-03-03 18:10:00, 2025-03-03 18:30:00,    5951.75, -14.0 , LOSS   ,     5965.75, 2025-02-28 16:00:00, 2025-02-28 20:00:00, 2025-03-03 18:00:00, 5982.0 , 14.0 ,  16.25, 1.1607142857142858, 1.1607142857142858, valid
5958.5      , 5982.0      ,    5951.75, 2025-03-03 18:25:00, 2025-03-03 18:30:00,    5951.75, -6.75 , LOSS   ,     5958.5 , 2025-02-28 17:00:00, 2025-02-28 20:00:00, 2025-03-03 18:00:00, 5982.0 ,  6.75,  23.5 , 3.4814814814814814, 3.4814814814814814, invalid
5957.75     , 5982.0      ,    5951.75, 2025-03-03 18:25:00, 2025-03-03 18:30:00,    5951.75, -6.0  , LOSS   ,     5957.75, 2025-02-28 19:00:00, 2025-02-28 20:00:00, 2025-03-03 18:00:00, 5982.0 ,  6.0 ,  24.25, 4.041666666666667 , 4.041666666666667 , invalid
5736.75     , 5748.75     ,    5729.0 , 2025-03-20 09:30:00, 2025-03-20 09:50:00,    5729.0 , -7.75 , LOSS   ,     5736.75, 2025-03-19 20:00:00, 2025-03-19 22:00:00, 2025-03-20 09:00:00, 5748.75,  7.75,  12.0 , 1.5483870967741935, 1.5483870967741935, valid
5764.75     , 5776.0      ,    5763.0 , 2025-03-26 16:55:00, 2025-03-26 17:15:00,    5763.0 , -1.75 , LOSS   ,     5764.75, 2025-03-24 06:00:00, 2025-03-24 07:00:00, 2025-03-26 16:00:00, 5776.0 ,  1.75,  11.25, 6.428571428571429 , 6.428571428571429 , invalid
5635.75     , 5673.0      ,    5610.75, 2025-04-02 20:25:00, 2025-04-02 20:30:00,    5610.75, -25.0 , LOSS   ,     5635.75, 2025-04-02 12:00:00, 2025-04-02 13:00:00, 2025-04-02 20:00:00, 5673.0 , 25.0 ,  37.25, 1.49              , 1.49              , invalid


METRICS
Total Trades, 43
Win Trades  , 18
Loss Trades , 25
Open Trades , 0
Win Rate    , 41.86%
Loss Rate   , 58.14%
Average Win , 16.03
Average Loss, -6.15
Total PnL   , 134.75
Min R Value , 0.9
