es_price,es_formation_time,es_breakout_time,es_retest_time,es_type,es_status,es_m5_retest_time,es_m5_open,es_m5_high,es_m5_low,es_m5_close,nq_price,nq_formation_time,nq_breakout_time,nq_retest_time,nq_type,nq_status,nq_m5_retest_time,nq_m5_open,nq_m5_high,nq_m5_low,nq_m5_close,time_diff_minutes
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0,17872.0,2024-01-08 14:00:00,2024-01-08 15:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:30:00,17901.25,17942.75,17820.75,17940.25,5.0
5462.5,2024-08-08 12:00:00,2024-08-08 13:00:00,2025-04-03 14:00:00,LHPB,retested,2025-04-03 14:50:00,5468.5,5469.5,5460.25,5466.0,18787.5,2024-08-08 06:00:00,2024-08-08 12:00:00,2025-04-03 14:00:00,LHPB,retested,2025-04-03 14:45:00,18853.25,18858.25,18783.0,18789.0,5.0
5462.5,2024-08-08 12:00:00,2024-08-08 13:00:00,2025-04-03 14:00:00,LHPB,retested,2025-04-03 14:50:00,5468.5,5469.5,5460.25,5466.0,18776.5,2024-08-08 07:00:00,2024-08-08 12:00:00,2025-04-03 14:00:00,LHPB,retested,2025-04-03 14:50:00,18788.5,18794.0,18762.25,18784.25,0.0
5650.5,2024-09-11 15:00:00,2024-09-11 16:00:00,2025-03-10 18:00:00,LHPB,retested,2025-03-10 18:50:00,5656.75,5659.75,5648.25,5649.0,19551.75,2024-09-11 15:00:00,2024-09-11 16:00:00,2025-03-10 18:00:00,LHPB,retested,2025-03-10 18:55:00,19587.0,19590.5,19536.0,19544.75,5.0
5707.5,2024-09-11 17:00:00,2024-09-11 18:00:00,2025-03-10 14:00:00,LHPB,retested,2025-03-10 14:50:00,5714.25,5715.5,5700.75,5703.25,19803.0,2024-09-11 17:00:00,2024-09-11 18:00:00,2025-03-10 14:00:00,LHPB,retested,2025-03-10 14:45:00,19826.0,19853.0,19795.5,19822.5,5.0
6200.25,2024-12-17 03:00:00,2024-12-17 05:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:55:00,6195.25,6205.5,6194.75,6205.0,22252.0,2025-01-22 17:00:00,2025-01-22 18:00:00,2025-01-23 21:00:00,LLPB,retested,2025-01-23 21:00:00,22248.0,22256.5,22230.25,22244.0,5.0
6200.25,2024-12-17 03:00:00,2024-12-17 05:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:55:00,6195.25,6205.5,6194.75,6205.0,22212.5,2025-01-22 19:00:00,2025-01-22 20:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:50:00,22179.25,22216.75,22175.75,22211.75,5.0
6200.5,2024-12-17 04:00:00,2024-12-17 05:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:55:00,6195.25,6205.5,6194.75,6205.0,22252.0,2025-01-22 17:00:00,2025-01-22 18:00:00,2025-01-23 21:00:00,LLPB,retested,2025-01-23 21:00:00,22248.0,22256.5,22230.25,22244.0,5.0
6200.5,2024-12-17 04:00:00,2024-12-17 05:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:55:00,6195.25,6205.5,6194.75,6205.0,22212.5,2025-01-22 19:00:00,2025-01-22 20:00:00,2025-01-23 20:00:00,LLPB,retested,2025-01-23 20:50:00,22179.25,22216.75,22175.75,22211.75,5.0
5945.0,2024-12-20 11:00:00,2024-12-20 13:00:00,2025-01-02 17:00:00,LHPB,retested,2025-01-02 17:35:00,5959.5,5960.5,5943.5,5945.25,21309.75,2024-12-20 12:00:00,2024-12-20 13:00:00,2025-01-02 17:00:00,LHPB,retested,2025-01-02 17:30:00,21357.75,21358.0,21303.0,21315.0,5.0
