time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,true_positive,hist_confluence_count,hist_confluence_prices,hist_true_positive
2026-08-13 09:04:15-07:00,LONG,7803.75,7803.5,84,-56,1.89,-106.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 09:09:20-07:00,LONG,7803.75,7803.5,163,-71,5.72,-102.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 09:09:24-07:00,LONG,7803.25,7803.0,63,-11,1.58,-63.0,1.0,LHPB,0,,False,2,7798.00;7805.25,True
2026-08-13 09:10:07-07:00,SHORT,7804.5,7804.75,92,90,2.16,122.0,1.0,LLPB,0,,False,0,,False
2026-08-13 09:11:59-07:00,LONG,7803.5,7803.25,88,-54,3.37,-102.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 09:12:40-07:00,LONG,7803.0,7802.75,137,-81,3.79,-119.0,1.0,LHPB,0,,False,2,7798.00;7805.25,True
2026-08-13 09:14:40-07:00,LONG,7801.0,7800.75,138,-42,3.53,-76.0,1.0,LHPB,1,7796.00,False,4,7796.00;7796.75;7798.00;7805.25,True
2026-08-13 09:14:42-07:00,LONG,7801.0,7800.75,71,-31,1.62,-74.0,1.0,LHPB,1,7796.00,False,4,7796.00;7796.75;7798.00;7805.25,True
2026-08-13 09:15:35-07:00,LONG,7801.75,7801.25,111,-29,2.22,-66.0,2.0,LHPB,0,,False,3,7796.75;7798.00;7805.25,True
2026-08-13 09:16:55-07:00,LONG,7800.5,7800.25,109,-67,2.93,-79.0,1.0,LHPB,2,7795.25;7796.00,True,5,7795.25;7796.00;7796.75;7798.00;7805.25,True
2026-08-13 09:17:11-07:00,LONG,7800.0,7799.75,121,-17,3.19,-72.0,1.0,LHPB,2,7795.25;7796.00,True,4,7795.25;7796.00;7796.75;7798.00,True
2026-08-13 09:25:14-07:00,SHORT,7805.75,7806.0,76,26,2.35,64.0,1.0,LLPB,0,,False,0,,False
2026-08-13 09:25:31-07:00,SHORT,7807.0,7807.25,100,74,2.48,114.0,1.0,LLPB,0,,False,0,,False
2026-08-13 09:26:10-07:00,LONG,7807.0,7806.75,101,-53,2.1,-63.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 09:27:35-07:00,LONG,7808.5,7808.25,82,-42,1.93,-120.0,1.0,LHPB,0,,False,1,7805.25,False
