Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:53:33-07:00,7801.25,7801.5,7801.25,7801.5,9,9,2,7,5
2026-08-13 08:53:34-07:00,7801.5,7801.5,7801.0,7801.25,133,105,59,74,15
2026-08-13 08:53:35-07:00,7801.25,7801.5,7801.25,7801.5,20,8,1,19,18
2026-08-13 08:53:36-07:00,7801.5,7801.75,7801.5,7801.75,12,9,3,9,6
2026-08-13 08:53:37-07:00,7801.75,7802.25,7801.5,7802.0,80,65,37,43,6
2026-08-13 08:53:38-07:00,7802.0,7802.0,7801.5,7801.5,15,13,14,1,-13
2026-08-13 08:53:39-07:00,7801.5,7801.75,7801.5,7801.5,43,29,23,20,-3
2026-08-13 08:53:40-07:00,7801.5,7801.5,7801.5,7801.5,0,0,0,0,0
2026-08-13 08:53:41-07:00,7801.5,7801.5,7801.0,7801.25,69,50,43,26,-17
2026-08-13 08:53:42-07:00,7801.25,7801.5,7801.0,7801.25,33,23,17,16,-1
2026-08-13 08:53:43-07:00,7801.25,7801.25,7801.0,7801.25,1,1,0,1,1
2026-08-13 08:53:44-07:00,7801.25,7801.25,7800.75,7801.0,49,42,28,21,-7
2026-08-13 08:53:45-07:00,7801.0,7801.25,7800.75,7801.0,15,15,5,10,5
2026-08-13 08:53:46-07:00,7801.0,7801.5,7800.75,7801.25,20,14,3,17,14
2026-08-13 08:53:47-07:00,7801.25,7801.5,7801.0,7801.5,6,6,1,5,4
2026-08-13 08:53:48-07:00,7801.5,7801.75,7801.25,7801.75,23,19,17,6,-11
2026-08-13 08:53:49-07:00,7801.75,7801.75,7801.25,7801.5,33,23,20,13,-7
2026-08-13 08:53:50-07:00,7801.5,7801.75,7801.25,7801.5,30,24,19,11,-8
2026-08-13 08:53:51-07:00,7801.5,7801.75,7801.25,7801.25,76,62,53,23,-30
2026-08-13 08:53:52-07:00,7801.25,7801.75,7801.25,7801.5,35,32,20,15,-5
2026-08-13 08:53:53-07:00,7801.5,7801.5,7801.5,7801.5,0,0,0,0,0
2026-08-13 08:53:54-07:00,7801.5,7801.5,7801.5,7801.5,0,0,0,0,0
2026-08-13 08:53:55-07:00,7801.5,7802.25,7801.5,7802.0,56,42,11,45,34
2026-08-13 08:53:56-07:00,7802.0,7802.25,7801.75,7802.0,31,21,22,9,-13
2026-08-13 08:53:57-07:00,7802.0,7802.0,7802.0,7802.0,0,0,0,0,0
2026-08-13 08:53:58-07:00,7802.0,7802.25,7801.75,7802.0,19,15,6,13,7
2026-08-13 08:53:59-07:00,7802.0,7802.25,7802.0,7802.25,2,2,0,2,2
2026-08-13 08:54:00-07:00,7802.25,7802.5,7802.0,7802.25,38,26,13,25,12
2026-08-13 08:54:01-07:00,7802.25,7802.5,7802.0,7802.0,27,22,18,9,-9
2026-08-13 08:54:02-07:00,7802.0,7802.25,7801.5,7801.75,184,106,50,134,84
2026-08-13 08:54:03-07:00,7801.75,7802.0,7801.5,7801.75,33,24,15,18,3
2026-08-13 08:54:04-07:00,7801.75,7802.0,7801.25,7801.5,44,41,33,11,-22
2026-08-13 08:54:05-07:00,7801.5,7801.75,7801.25,7801.75,51,41,17,34,17
2026-08-13 08:54:06-07:00,7801.75,7801.75,7801.25,7801.5,51,38,29,22,-7
2026-08-13 08:54:07-07:00,7801.5,7801.75,7801.25,7801.5,38,31,26,12,-14
2026-08-13 08:54:08-07:00,7801.5,7801.5,7801.5,7801.5,0,0,0,0,0
2026-08-13 08:54:09-07:00,7801.5,7801.75,7801.25,7801.25,16,14,15,1,-14
2026-08-13 08:54:10-07:00,7801.25,7801.75,7801.25,7801.75,7,7,5,2,-3
2026-08-13 08:54:11-07:00,7801.75,7801.75,7801.25,7801.5,26,18,14,12,-2
2026-08-13 08:54:12-07:00,7801.5,7802.0,7801.5,7802.0,11,8,0,11,11
2026-08-13 08:54:13-07:00,7802.0,7802.0,7801.5,7802.0,59,47,30,29,-1
2026-08-13 08:54:14-07:00,7802.0,7802.0,7802.0,7802.0,0,0,0,0,0
2026-08-13 08:54:15-07:00,7802.0,7802.0,7801.5,7801.75,33,29,18,15,-3
2026-08-13 08:54:16-07:00,7801.75,7802.0,7801.5,7801.75,11,8,4,7,3
2026-08-13 08:54:17-07:00,7801.75,7802.0,7801.5,7801.75,49,40,16,33,17
2026-08-13 08:54:18-07:00,7801.75,7801.75,7801.75,7801.75,0,0,0,0,0
2026-08-13 08:54:19-07:00,7801.75,7802.25,7801.75,7802.0,6,6,3,3,0
2026-08-13 08:54:20-07:00,7802.0,7802.0,7801.5,7801.75,27,19,11,16,5
2026-08-13 08:54:21-07:00,7801.75,7801.75,7801.25,7801.5,14,10,6,8,2
2026-08-13 08:54:22-07:00,7801.5,7801.75,7801.5,7801.5,1,1,1,0,-1
2026-08-13 08:54:23-07:00,7801.5,7801.75,7801.5,7801.5,2,2,2,0,-2
2026-08-13 08:54:24-07:00,7801.5,7802.0,7801.5,7801.75,24,21,8,16,8
2026-08-13 08:54:25-07:00,7801.75,7801.75,7801.5,7801.75,6,6,0,6,6
2026-08-13 08:54:26-07:00,7801.75,7801.75,7801.75,7801.75,0,0,0,0,0
2026-08-13 08:54:27-07:00,7801.75,7802.0,7801.25,7801.5,32,28,26,6,-20
2026-08-13 08:54:28-07:00,7801.5,7801.75,7801.25,7801.5,14,13,4,10,6
2026-08-13 08:54:29-07:00,7801.5,7801.75,7801.25,7801.5,5,5,3,2,-1
2026-08-13 08:54:30-07:00,7801.5,7801.5,7801.25,7801.5,7,7,0,7,7
2026-08-13 08:54:31-07:00,7801.5,7802.0,7801.5,7801.75,19,16,6,13,7
2026-08-13 08:54:32-07:00,7801.75,7801.75,7801.75,7801.75,0,0,0,0,0
